donor_id,blood_group,distance_km,days_since_last_donation,past_acceptance_rate,urgency_level,time_of_day,accept_probability,accepted
D943,AB+,11.35,185,0.9,Low,Night,0.79,1
D944,O-,14.46,279,0.79,High,Night,0.7,1
D945,O+,9.78,110,0.56,Medium,Evening,0.65,1
D946,A+,12.53,210,0.79,Medium,Evening,0.73,1
D947,AB-,3.0,217,0.41,High,Morning,0.72,0
D948,B-,7.92,249,0.41,Medium,Night,0.65,1
D949,A-,5.33,189,0.63,High,Morning,0.77,0
D950,O+,7.08,40,0.58,Low,Night,0.53,0
D951,AB-,11.58,245,0.34,High,Night,0.56,0
D952,B-,7.87,229,0.39,Low,Night,0.64,1
D953,AB+,7.05,287,0.83,High,Evening,0.83,1
D954,B-,7.59,253,0.28,High,Morning,0.6,0
D955,A-,6.1,54,0.37,High,Night,0.49,0
D956,O-,14.5,78,0.63,Medium,Morning,0.53,0
D957,AB+,8.83,207,0.82,High,Evening,0.8,1
D958,O-,8.94,190,0.28,Medium,Evening,0.58,0
D959,B-,13.6,122,0.89,High,Afternoon,0.75,1
D960,A+,13.39,269,0.34,High,Night,0.54,0
D961,AB+,10.68,216,0.52,Low,Afternoon,0.65,0
D962,AB+,16.96,240,0.39,Low,Afternoon,0.5,0
D963,A-,16.56,112,0.33,High,Afternoon,0.46,1
D964,O+,3.42,44,0.32,Medium,Night,0.49,1
D965,AB+,8.73,48,0.28,Medium,Afternoon,0.4,1
D966,A+,13.34,120,0.68,Low,Night,0.67,0
D967,O+,17.26,72,0.38,Medium,Morning,0.37,0
D968,A-,17.99,76,0.46,High,Afternoon,0.4,1
D969,AB-,10.68,298,0.33,Low,Afternoon,0.57,0
D970,B-,6.92,229,0.83,High,Afternoon,0.83,0
D971,A+,3.31,119,0.29,Medium,Night,0.66,1
D972,O-,10.06,221,0.73,Low,Evening,0.74,1
D973,AB-,13.81,172,0.89,Low,Evening,0.75,1
D974,A+,16.52,40,0.68,High,Morning,0.42,0
D975,AB-,13.97,152,0.33,Medium,Evening,0.52,0
D976,O+,18.11,92,0.58,Low,Night,0.49,1
D977,B+,18.59,160,0.37,Low,Evening,0.47,1
D978,AB+,18.36,192,0.89,High,Night,0.68,0
D979,A-,17.4,281,0.52,Medium,Evening,0.55,0
D980,AB-,16.58,163,0.56,Medium,Night,0.58,0
D981,B+,9.34,44,0.79,High,Afternoon,0.59,0
D982,B-,0.56,132,0.67,Medium,Morning,0.86,1
D983,AB-,10.57,96,0.86,High,Night,0.73,0
D984,B-,9.3,98,0.33,High,Evening,0.54,0
D985,A+,2.15,218,0.26,Medium,Afternoon,0.67,1
D986,B+,18.5,147,0.92,Medium,Afternoon,0.69,1
D987,B+,1.47,249,0.64,Low,Morning,0.83,0
D988,O-,18.97,90,0.11,High,Night,0.28,0
D989,AB+,16.63,283,0.21,High,Afternoon,0.43,1
D990,AB+,6.12,283,0.44,Medium,Afternoon,0.68,1
D991,AB+,14.67,126,0.48,Medium,Afternoon,0.57,1
D992,O-,5.09,260,0.92,Medium,Night,0.89,1
D993,O+,3.1,195,0.98,Medium,Afternoon,0.95,1
D994,B-,14.85,161,0.17,High,Morning,0.45,1
D995,O+,9.68,211,1.0,High,Morning,0.85,1
D996,AB+,6.4,232,0.7,Low,Morning,0.78,1
D997,O+,3.81,282,0.94,Medium,Afternoon,0.92,1
D998,AB+,3.27,89,0.38,Low,Night,0.63,0
D999,O+,15.08,250,0.35,Medium,Evening,0.51,0
D1000,O-,17.91,191,0.76,Medium,Afternoon,0.64,1
